,Film_ID,Film,Film1,Film2,Film3,Film4,Film5
739,739,Jack Reacher ,Jack Reacher ,"I, Robot ",Angels & Demons ,Unstoppable ,The Wolverine 
740,740,Deep Blue Sea ,The Running Man ,Hollow Man ,Aliens vs. Predator: Requiem ,"I, Robot ",The Kingdom 
741,741,This Is It ,2016: Obama's America ,Glee: The 3D Concert Movie ,One Direction: This Is Us ,"Food, Inc. ",Katy Perry: Part of Me 
742,742,Contagion ,Creed ,Blue Jasmine ,The Help ,Ocean's Eleven ,Angels & Demons 
743,743,Kangaroo Jack ,Clockstoppers ,Crocodile Dundee in Los Angeles ,Moms' Night Out ,Torque ,3 Ninjas Kick Back 
744,744,Coraline ,Rise of the Guardians ,Paddington ,The Smurfs ,Pete's Dragon ,The SpongeBob SquarePants Movie 
745,745,The Happening ,The Butterfly Effect ,Blade Runner ,Elysium ,Face/Off ,Predators 
746,746,Man on Fire ,Casino ,Unstoppable ,Training Day ,Face/Off ,The Taking of Pelham 1 2 3 
747,747,The Shaggy Dog ,Daddy Day Care ,The Odd Life of Timothy Green ,The Kid ,Fat Albert ,Catch That Kid 
748,748,Starsky & Hutch ,Dumb & Dumber ,The Internship ,White Chicks ,The Love Guru ,"Me, Myself & Irene "
749,749,Jingle All the Way ,The Flintstones ,Daddy Day Care ,Christmas with the Kranks ,Zookeeper ,A Cinderella Story 
750,750,Hellboy ,Mystery Men ,Hellboy II: The Golden Army ,Hulk ,Battlefield Earth ,"I, Robot "
751,751,A Civil Action ,Little Black Book ,Up Close & Personal ,The Emperor's Club ,Swing Vote ,My Sister's Keeper 
752,752,ParaNorman ,Ice Age: Continental Drift ,Paddington ,The SpongeBob SquarePants Movie ,Rise of the Guardians ,Brave 
753,753,The Jackal ,War ,The Equalizer ,Wanted ,The Art of War ,Ronin 
754,754,Paycheck ,"I, Robot ",Self/less ,Total Recall ,Total Recall ,The Stepfather 
755,755,Up Close & Personal ,Little Black Book ,"Welcome Home, Roscoe Jenkins ",My Boss's Daughter ,Black or White ,Shanghai Calling 
756,756,The Tale of Despereaux ,The Pirates! Band of Misfits ,Paddington ,Alvin and the Chipmunks: Chipwrecked ,The Muppet Movie ,A Bug's Life 
757,757,Rules of Engagement             ,It's Always Sunny in Philadelphia             ,Anger Management             ,Rush Hour             ,The O.C.             ,Last Man Standing             
758,758,The Tuxedo ,Bulletproof Monk ,Mystery Men ,The Animal ,Big Momma's House ,Dumb & Dumber 
759,759,Under Siege 2: Dark Territory ,On Deadly Ground ,Arbitrage ,The Peacemaker ,The Marine 4: Moving Target ,Patriot Games 
760,760,Jack Ryan: Shadow Recruit ,The Marine ,Blue Jasmine ,3 Days to Kill ,My Sister's Keeper ,The Fast and the Furious: Tokyo Drift 
761,761,Joy ,St. Vincent ,Silver Linings Playbook ,The Intern ,The Help ,Moneyball 
762,762,London Has Fallen ,Gangster Squad ,Smokin' Aces ,Get Carter ,Run All Night ,Coriolanus 
763,763,Alien: Resurrection ,Aliens vs. Predator: Requiem ,Blade ,Species ,Hostel ,Terminator 2: Judgment Day 
764,764,Shooter ,Broken Horses ,Sicario ,Breakdown ,Four Brothers ,The Gunman 
765,765,The Boxtrolls ,Paddington ,The SpongeBob Movie: Sponge Out of Water ,Hop ,Free Birds ,G-Force 
766,766,Practical Magic ,Little Black Book ,Ghost ,The Love Guru ,Shallow Hal ,A Lot Like Love 
767,767,The Lego Movie ,Kung Fu Panda ,Brave ,Kung Fu Panda 2 ,Paddington ,The Croods 
768,768,Miss Congeniality 2: Armed and Fabulous ,Big Momma's House ,Big Momma's House 2 ,White Chicks ,Bulletproof Monk ,"Big Mommas: Like Father, Like Son "
769,769,Reign of Fire ,X-Men Origins: Wolverine ,Star Trek: Nemesis ,Battlefield Earth ,Lara Croft: Tomb Raider ,Timeline 
770,770,Gangster Squad ,The Place Beyond the Pines ,Sicario ,Killing Them Softly ,Run All Night ,2 Guns 
771,771,Year One ,Bowfinger ,The Love Guru ,Dumb & Dumber ,Love the Coopers ,The Internship 
772,772,Invictus ,Million Dollar Baby ,Creed ,Blue Jasmine ,St. Vincent ,Moneyball 
773,773,State of Play ,Angels & Demons ,The Stepfather ,Wild Things ,The Losers ,The Da Vinci Code 
774,774,Duplicity ,The Love Guru ,The Stepfather ,Larry Crowne ,Hollywood Ending ,One for the Money 
775,775,My Favorite Martian ,Meet Dave ,Daddy Day Care ,Ri¢hie Ri¢h ,Aliens in the Attic ,Spaced Invaders 
776,776,The Sentinel ,The Stepfather ,Cellular ,Speed 2: Cruise Control ,The Fast and the Furious: Tokyo Drift ,Into the Storm 
777,777,Planet 51 ,Space Jam ,Star Trek III: The Search for Spock ,The Pirates! Band of Misfits ,Escape from Planet Earth ,Free Birds 
778,778,Star Trek: Nemesis ,The Core ,The Wolverine ,Battlefield Earth ,Star Trek Into Darkness ,G.I. Joe: The Rise of Cobra 
779,779,Intolerable Cruelty ,Because I Said So ,The Love Guru ,"You, Me and Dupree ",Bowfinger ,The Other Woman 
780,780,Trouble with the Curve ,Concussion ,Driven ,42 ,St. Vincent ,For Love of the Game 
781,781,Edge of Darkness ,Kiss the Girls ,The Interpreter ,A Simple Plan ,Wild Things ,Punisher: War Zone 
782,782,The Relic ,Chernobyl Diaries ,Containment ,Exorcist: The Beginning ,Event Horizon ,Unfriended 
783,783,Analyze That ,Tango & Cash ,Analyze This ,Casino ,Cape Fear ,Dirty Grandpa 
784,784,Righteous Kill ,The Bone Collector ,Kiss the Girls ,Dead Man Down ,Wild Things ,88 Minutes 
785,785,Mercury Rising ,Mercury Rising ,The Kingdom ,Punisher: War Zone ,A Man Apart ,Boiler Room 
786,786,The Soloist ,Concussion ,The Theory of Everything ,Eddie the Eagle ,Eddie the Eagle ,Me Before You 
787,787,The Legend of Bagger Vance ,Creed ,The Love Guru ,St. Vincent ,The Help ,Bowfinger 
788,788,Almost Famous ,Pirate Radio ,The Kids Are All Right ,Movie 43 ,A Million Ways to Die in the West ,Our Idiot Brother 
789,789,Garfield 2 ,Paddington ,The Pirates! Band of Misfits ,Hop ,Garfield ,The Secret Life of Pets 
790,790,xXx: State of the Union ,The Sentinel ,The Fast and the Furious: Tokyo Drift ,The Stepfather ,Dante's Peak ,Cellular 
791,791,Priest ,Mortal Kombat: Annihilation ,Supernova ,Underworld: Rise of the Lycans ,Into the Storm ,The Visit 
792,792,Sinbad: Legend of the Seven Seas ,Alpha and Omega ,Rugrats Go Wild ,The SpongeBob Movie: Sponge Out of Water ,The SpongeBob SquarePants Movie ,The Odd Life of Timothy Green 
793,793,Event Horizon ,Chernobyl Diaries ,Alien ,Aliens vs. Predator: Requiem ,Severance ,Grabbers 
794,794,The Avengers ,The Avengers ,Avengers: Age of Ultron ,Thor ,Star Trek ,Star Wars: Episode III - Revenge of the Sith 
795,795,Dragonfly ,Ghost ,The Stepfather ,Liar Liar ,Wicker Park ,Wicker Park 
796,796,The Black Dahlia ,Lucky Number Slevin ,Lucky Number Slevin ,Red Dragon ,The Untouchables ,Wild Things 
797,797,Flyboys ,Hotel Rwanda ,Pearl Harbor ,Me Before You ,The Iron Lady ,Seven Years in Tibet 
798,798,The Last Castle ,Arbitrage ,Do the Right Thing ,The Kingdom ,Dead Man Down ,Romeo Must Die 
799,799,Supernova ,The Cave ,Darkness ,Apollo 18 ,Darkness Falls ,Poltergeist III 
800,800,Winter's Tale ,The Age of Adaline ,Beastly ,The Vow ,Larry Crowne ,The Lucky One 
801,801,The Mortal Instruments: City of Bones ,The Age of Adaline ,Winter's Tale ,The Love Guru ,Beautiful Creatures ,13 Going on 30 
802,802,Meet Dave ,Howard the Duck ,My Favorite Martian ,Spaced Invaders ,Aliens in the Attic ,Daddy Day Care 
803,803,Dark Water ,The Mothman Prophecies ,The Roommate ,The Cave ,The Marine ,Blue Jasmine 
804,804,Edtv ,Hollywood Ending ,Larry Crowne ,Swing Vote ,St. Vincent ,Little Black Book 
805,805,Inkheart ,Pete's Dragon ,The Little Vampire ,Looney Tunes: Back in Action ,The Pirates! Band of Misfits ,The Spiderwick Chronicles 
806,806,The Spirit ,Ghost Rider: Spirit of Vengeance ,Premium Rush ,Ghost Rider ,Lara Croft: Tomb Raider ,Cellular 
807,807,Mortdecai ,The Libertine ,Pirate Radio ,That's My Boy ,Say It Isn't So ,How to Be Single 
808,808,In the Name of the King: A Dungeon Siege Tale ,Lara Croft: Tomb Raider ,The Cold Light of Day ,The Expendables 3 ,The Scorpion King ,The Mummy Returns 
809,809,Beyond Borders ,The Messenger ,The Merchant of Venice ,Instinct ,54 ,My Own Private Idaho 
810,810,Xi you ji zhi: Sun Wukong san da Baigu Jing ,The Timber ,Out of Inferno ,Dragon Nest: Warriors' Dawn ,Kicks ,The Blue Butterfly 
811,811,The Great Raid ,Windtalkers ,Bringing Out the Dead ,Palo Alto ,The Messenger ,Black Snake Moan 
812,812,Deadpool ,Star Trek Into Darkness ,The Wolverine ,Batman v Superman: Dawn of Justice ,Elysium ,Suicide Squad 
813,813,Holy Man ,Little Black Book ,Mr. Holland's Opus ,Moms' Night Out ,Daddy Day Care ,My Boss's Daughter 
814,814,American Sniper ,Flags of Our Fathers ,Elysium ,Lone Survivor ,The Hurt Locker ,Argo 
815,815,Goosebumps ,Goosebumps ,Gulliver's Travels ,Paddington ,The Boxtrolls ,Pete's Dragon 
816,816,"Sabrina, the Teenage Witch             ",Bewitched             ,Sonny with a Chance             ,It's Always Sunny in Philadelphia             ,Fired Up             ,The Powerpuff Girls             
817,817,Just Like Heaven ,13 Going on 30 ,Head Over Heels ,The Love Guru ,Because I Said So ,Dumb & Dumber 
818,818,The Flintstones in Viva Rock Vegas ,Fat Albert ,The Perfect Man ,Are We There Yet? ,Daddy Day Care ,Clockstoppers 
819,819,Rambo III ,Cliffhanger ,First Blood ,First Blood ,On Deadly Ground ,Rambo: First Blood Part II 
820,820,Leatherheads ,The Love Guru ,Morning Glory ,Little Black Book ,Shanghai Calling ,Fever Pitch 
821,821,The Ridiculous 6 ,Grown Ups 2 ,Coffee Town ,Bananas ,Mr. Deeds ,It's Always Sunny in Philadelphia             
822,822,Did You Hear About the Morgans? ,Little Black Book ,The Love Guru ,My Boss's Daughter ,Where the Heart Is ,Keeping the Faith 
823,823,The Internship ,Dumb & Dumber ,The Other Woman ,The Love Guru ,My Boss's Daughter ,"Legally Blonde 2: Red, White & Blonde "
824,824,Resident Evil: Afterlife ,Resident Evil: Retribution ,Hansel & Gretel: Witch Hunters ,Resident Evil: Apocalypse ,Doom ,Predator 
825,825,Red Tails ,Red Dawn ,Master and Commander: The Far Side of the World ,Gods and Generals ,U-571 ,Behind Enemy Lines 
826,826,Sex and the City             ,It's Always Sunny in Philadelphia             ,Anger Management             ,Rules of Engagement             ,Fired Up             ,Dumb & Dumber 
827,827,The Devil's Advocate ,August: Osage County ,Wild Things ,The Help ,Margin Call ,Original Sin 
828,828,That's My Boy ,Our Idiot Brother ,Horrible Bosses 2 ,Not Another Teen Movie ,St. Vincent ,Bad Teacher 
829,829,DragonHeart ,Black Knight ,The Legend of Hercules ,Battlefield Earth ,Dragonslayer ,First Knight 
830,830,After the Sunset ,Big Momma's House ,Miss Congeniality 2: Armed and Fabulous ,Littleman ,St. Vincent ,Little Black Book 
831,831,Ghost Rider: Spirit of Vengeance ,Ghost Rider ,Unstoppable ,The Spirit ,Lara Croft: Tomb Raider ,The Wolverine 
832,832,Captain Corelli's Mandolin ,Velvet Goldmine ,The Messenger ,54 ,Sliding Doors ,Becoming Jane 
833,833,Anger Management             ,Rules of Engagement             ,It's Always Sunny in Philadelphia             ,Rush Hour             ,Sex and the City             ,Fired Up             
834,834,The Pacifier ,The Angry Birds Movie ,Bedtime Stories ,Cheaper by the Dozen ,Star Trek VI: The Undiscovered Country ,The Kid 
835,835,Walking Tall ,Gridiron Gang ,The Losers ,The Stepfather ,The Cold Light of Day ,Ocean's Eleven 
836,836,Forrest Gump ,Cast Away ,The Terminal ,The Social Network ,The Help ,St. Vincent 
837,837,Alvin and the Chipmunks ,Hop ,Alvin and the Chipmunks: The Squeakquel ,Alvin and the Chipmunks: Chipwrecked ,Paddington ,Free Birds 
838,838,Meet the Parents ,Meet the Fockers ,Dumb & Dumber ,Little Fockers ,Bowfinger ,Dinner for Schmucks 
839,839,Pocahontas ,The Hunchback of Notre Dame ,Anastasia ,Mulan ,The Lion King ,Aladdin 
840,840,Superman ,Star Trek III: The Search for Spock ,Star Trek II: The Wrath of Khan ,Apollo 13 ,Star Trek V: The Final Frontier ,Star Trek: Insurrection 
841,841,The Nutty Professor ,My Boss's Daughter ,Nutty Professor II: The Klumps ,Little Black Book ,Liar Liar ,The Other Woman 
842,842,Hitch ,Dumb & Dumber ,The Love Guru ,Mr. Deeds ,Yes Man ,Bowfinger 
843,843,George of the Jungle ,Clockstoppers ,Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,Inspector Gadget ,Daddy Day Care ,Zookeeper 
844,844,American Wedding ,My Best Friend's Girl ,She's Out of My League ,Very Bad Things ,The Love Guru ,Say It Isn't So 
845,845,Captain Phillips ,The Social Network ,The Help ,The Theory of Everything ,Angels & Demons ,The Pursuit of Happyness 
846,846,Date Night ,The Incredible Burt Wonderstone ,Mr. Deeds ,The Internship ,Yes Man ,Last Vegas 
847,847,Casper ,The Flintstones ,The Haunted Mansion ,Moms' Night Out ,Daddy Day Care ,Hop 
848,848,The Equalizer ,Wanted ,Face/Off ,Olympus Has Fallen ,Elysium ,Training Day 
849,849,Maid in Manhattan ,The Love Guru ,Little Black Book ,Where the Heart Is ,The Switch ,You've Got Mail 
850,850,Crimson Tide ,Windtalkers ,Courage Under Fire ,Tears of the Sun ,The Siege ,Flags of Our Fathers 
851,851,The Pursuit of Happyness ,The Social Network ,The Help ,The Theory of Everything ,Seven Pounds ,Captain Phillips 
852,852,Flightplan ,Red Eye ,Angels & Demons ,The Mothman Prophecies ,Disturbia ,Disturbia 
853,853,Disclosure ,Arbitrage ,Good Kill ,Unfaithful ,Edmond ,Do the Right Thing 
854,854,City of Angels ,The Age of Adaline ,13 Going on 30 ,The Emperor's Club ,Beastly ,Where the Heart Is 
855,855,Kill Bill: Vol. 1 ,Kill Bill: Vol. 2 ,Terminator 2: Judgment Day ,Nebraska ,Bad Teacher ,American History X 
856,856,Bowfinger ,In & Out ,Dumb & Dumber ,The Love Guru ,"Legally Blonde 2: Red, White & Blonde ",The Replacements 
857,857,Stargate SG-1             ,Revolution             ,It's Always Sunny in Philadelphia             ,Eureka             ,Rush Hour             ,Stargate: The Ark of Truth 
858,858,Kill Bill: Vol. 2 ,The Gunman ,Kill Bill: Vol. 1 ,Broken Horses ,The Punisher ,Shooter 
859,859,Tango & Cash ,Con Air ,Romeo Must Die ,3000 Miles to Graceland ,Beverly Hills Cop II ,The Running Man 
860,860,Death Becomes Her ,Gremlins 2: The New Batch ,Bowfinger ,St. Vincent ,The Other Woman ,The Incredible Burt Wonderstone 
861,861,Shanghai Noon ,The Dukes of Hazzard ,Battlefield Earth ,Shanghai Knights ,Year One ,Dumb & Dumber 
862,862,Executive Decision ,Commando ,The Siege ,On Deadly Ground ,Die Hard with a Vengeance ,Patriot Games 
863,863,Mr. Popper's Penguins ,Daddy Day Care ,Freaky Friday ,The Flintstones ,The Odd Life of Timothy Green ,Paddington 
864,864,The Forbidden Kingdom ,Battlefield Earth ,Lara Croft: Tomb Raider ,The Last Witch Hunter ,The Scorpion King ,Batman Forever 
865,865,Free Birds ,Yogi Bear ,Hop ,Daddy Day Care ,The Road to El Dorado ,Alpha and Omega 
866,866,Alien 3 ,Starship Troopers ,Aliens vs. Predator: Requiem ,Total Recall ,Total Recall ,Ghost Ship 
867,867,Evita ,One Night with the King ,Selena ,Copying Beethoven ,Mr. Turner ,The Greatest Game Ever Played 
868,868,Ronin ,The Untouchables ,Cliffhanger ,A Lonely Place to Die ,GoldenEye ,Never Say Never Again 
869,869,The Ghost and the Darkness ,The Debt ,The Reaping ,Ghost Ship ,The Cave ,Arbitrage 
870,870,Paddington ,The Secret Life of Pets ,The Pirates! Band of Misfits ,Hop ,Arthur Christmas ,The SpongeBob Movie: Sponge Out of Water 
871,871,The Watch ,The Watch ,Aliens vs. Predator: Requiem ,Hot Tub Time Machine ,Team America: World Police ,21 & Over 
872,872,The Hunted ,The Kingdom ,The Running Man ,Ballistic: Ecks vs. Sever ,Arbitrage ,Punisher: War Zone 
873,873,Instinct ,Arbitrage ,Gothika ,Wild Things ,Do the Right Thing ,Draft Day 
874,874,Stuck on You ,Love the Coopers ,Bowfinger ,The Love Guru ,Dumb & Dumber ,St. Vincent 
875,875,Semi-Pro ,Major League ,The Love Guru ,Caddyshack ,Not Another Teen Movie ,She's Out of My League 
876,876,The Pirates! Band of Misfits ,Paddington ,Bee Movie ,Ice Age: Continental Drift ,The Secret Life of Pets ,Yogi Bear 
877,877,Changeling ,Se7en ,Wild Things ,Mystic River ,Casino ,Killing Them Softly 
878,878,Chain Reaction ,The Cold Light of Day ,The Emperor's Club ,The Wolverine ,Driven ,Courage Under Fire 
879,879,The Fan ,Arbitrage ,Draft Day ,Heist ,Heist ,The Untouchables 
880,880,The Phantom of the Opera ,The Theory of Everything ,Me Before You ,Moulin Rouge! ,Pearl Harbor ,The Artist 
881,881,Elizabeth: The Golden Age ,Hotel Rwanda ,Elizabeth ,The Iron Lady ,Concussion ,My Week with Marilyn 
882,882,Æon Flux ,Battlefield Earth ,Ender's Game ,"I, Robot ",Star Trek: Nemesis ,The Scorch Trials 
883,883,Gods and Generals ,Hotel Rwanda ,One Night with the King ,The Fall of the Roman Empire ,Little Black Book ,Gettysburg 
884,884,Turbulence ,Enter the Dangerous Mind ,On Deadly Ground ,Edmond ,Nurse 3D ,Clockstoppers 
885,885,Imagine That ,Daddy Day Camp ,A Simple Wish ,Daddy Day Care ,Harriet the Spy ,Fat Albert 
886,886,Muppets Most Wanted ,The Muppets ,Annie ,Daddy Day Care ,Parental Guidance ,The Odd Life of Timothy Green 
887,887,Thunderbirds ,Clockstoppers ,Superman IV: The Quest for Peace ,Inspector Gadget ,Mars Needs Moms ,Teenage Mutant Ninja Turtles II: The Secret of the Ooze 
888,888,Burlesque ,Step Up Revolution ,Step Up 3D ,Little Black Book ,Up Close & Personal ,Rent 
889,889,A Very Long Engagement ,Coco Before Chanel ,In the Land of Blood and Honey ,9½ Weeks ,Oceans ,Original Sin 
890,890,Lolita ,Lolita ,The Rise of the Krays ,The Best Years of Our Lives ,Dead Man's Shoes ,12 Angry Men 
891,891,Eye See You ,The Watcher ,The Frozen Ground ,Some Guy Who Kills People ,Pathology ,Criminal Activities 
